visitIDs,site,jsCookies,party
360,counterinformation.wordpress.com,25,left
248,visiontoamerica.com,24.5,right
270,louderwithcrowder.com,24.5,right
297,rightalert.com,24.5,right
280,meanlefthook.com,23.5,left
286,progressive.org,23,left
301,inthesetimes.com,23,left
348,commondreams.org,23,left
349,bluelivesmatter.blue,23,right
238,infowars.com,22,right
266,rightwingwatch.org,22,left
298,revealingpolitics.com,22,right
105,truedaily.news,21,right
213,vdare.com,21,right
214,sovereignman.com,21,right
232,aim.org,21,right
289,everydayfeminism.com,21,left
299,patriottribune.com,20.5,right
342,democraticunderground.com,20.5,left
138,girlsjustwannahaveguns.com,20,right
255,patriotoutdoornews.com,20,right
285,redflagnews.com,20,right
310,nowthisnews.com,20,left
338,talkleft.com,20,left
139,bloodyrubbish.com,19,right
150,reverbpress.com,19,left
235,occupy.com,19,left
282,thenewamerican.com,19,right
309,minutemennews.com,19,right
321,shadowproof.com,19,left
322,rightwingnews.com,19,right
331,countercurrents.org,19,left
369,commentarymagazine.com,19,right
329,conservativebyte.com,18.5,right
320,sistertoldjah.com,18,right
354,michellemalkin.com,18,right
269,offthemainpage.com,17.5,left
211,americauncensored.com,17,right
256,blingnews.com,17,right
296,savingourfuture.com,17,right
314,federalistpress.com,17,right
421,revcom.us,17,left
431,dailygotham.com,17,left
259,libertyisviral.com,16,right
261,occupyliberals.com,16,left
292,conservativevideos.com,16,right
323,prisonplanet.com,15.5,right
208,politicaldig.com,15,left
262,viralliberty.com,15,right
316,rightedition.com,15,right
456,usadailynews24.com,15,right
494,sharpelbowsstl.blogspot.ca,15,right
265,donaldtrumpnews.co,14.5,right
268,patriotcrier.com,14.5,right
287,newstarget.com,14.5,right
236,madworldnews.com,14,right
250,myrightamerica.com,14,right
274,comicallyincorrect.com,14,right
283,therealnews.com,14,left
359,democracyjournal.org,14,left
179,nowtheendbegins.com,13.5,right
188,rednationweekly.com,13.5,right
295,thepeoplesview.net,13.5,left
334,gatestoneinstitute.org,13.5,right
385,thegoldwater.com,13.5,right
272,hillarydaily.com,13,right
304,dissentmagazine.org,13,left
325,govtslaves.info,13,right
302,freedom.news,12.5,right
305,biggovernment.news,12.5,right
324,michaelmoore.com,12.5,left
306,ahtribune.com,12,left
339,progressiveliberal.net,12,left
537,fightingfortrump.com,12,right
33,freedomsfinalstand.com,11.5,right
161,patriotrising.com,11.5,right
186,usadailyreports.com,11.5,right
392,mediamatters.org,11.5,left
275,bluenationreview.com,11,left
291,ih8hillary.com,11,right
317,projectveritas.com,11,right
346,conservativedailypost.com,10.5,right
365,redstatewatcher.com,10.5,right
401,conservativenews.com,10.5,right
281,aclj.org,10,right
300,leftexposed.org,10,right
337,tammybruce.com,10,right
358,demos.org,10,left
382,tomdispatch.com,10,left
427,informationclearinghouse.info,10,left
127,excaliburreport.com,9.5,right
318,victoriajackson.com,9.5,right
293,vesselnews.io,9,left
341,juancole.com,9,left
355,hudson.org,9,right
356,fair.org,9,left
395,jacobinmag.com,9,left
432,conservativeworlddaily.com,9,right
373,joeforamerica.com,8.5,right
240,youngprogressivevoices.com,8,left
241,uspostman.com,8,right
242,usapoliticsnow.com,8,right
243,usaonlinetoday.com,8,left
244,thestarchronicle.com,8,right
245,sgsnews.com,8,right
246,patriotreporting.com,8,right
247,informedowners.com,8,right
249,conservativeshere.com,8,right
328,alexanderhiggins.com,8,left
343,defund.com,8,right
371,veteransnewsnow.com,8,right
388,patriotpost.us,8,right
361,conservativespirit.com,7.5,right
378,webdaily.com,7.5,right
396,informationliberation.com,7.5,right
192,readmeeveryday.com,7,right
336,voices4hillary.com,7,left
344,counterpunch.org,7,left
345,counterpunch.com,7,left
374,patriotretort.com,7,right
376,worlddailyonline.com,7,right
412,newsbud.com,7,left
416,thedailydeplorables.com,7,right
422,regated.com,7,right
433,citizensfortrump.com,7,right
439,universepolitics.com,7,right
443,politicalalley.com,7,right
529,newsleaks.co,7,right
429,glennbeckunhinged.com,6.5,left
303,freakoutnation.com,6,left
315,usanewsflash.com,6,right
357,downtrend.com,6,right
362,conservativedeplorable.com,6,right
364,act.tv,6,left
367,leftliberal.com,6,left
372,reagancoalition.com,6,right
435,attn.com,6,left
450,worldnewsandrumors.space,6,right
464,politicalsitenews.com,6,right
540,buzzfeedusa.com,6,right
454,usuncut.com,5.5,left
313,usnewz24.com,5,right
333,utnews.info,5,right
353,theproudliberal.org,5,left
391,oliverwillis.com,5,left
402,conservativefighters.com,5,right
420,truetrumpers.com,5,right
434,borntoberight.com,5,right
437,afr.net,5,right
469,moonofalabama.org,5,left
471,leftaction.com,5,left
481,consortiumnews.com,5,left
508,topusanewspolitics.com,5,left
552,americantruepatriots.com,5,right
389,patriotbeacon.com,4.5,right
408,aina.org,4.5,right
461,stacyontheright.com,4.5,right
229,dieharddemocrat.com,4,left
279,rawprogressive.com,4,left
352,warisacrime.org,4,left
377,winningdemocrats.com,4,left
379,usapubliclife.com,4,right
380,truthmonitor.com,4,right
387,politicaljungle.net,4,right
398,freedomdaily.com,4,right
399,embols.com,4,right
403,bignuggetnews.com,4,right
409,usaphase.com,4,right
410,triadconservative.com,4,right
411,ihavethetruth.com,4,right
413,undergroundnewsreport.com,4,right
